"row";"column";"Sample.Name";"Detector";"Task";"Ct";"StdDev.Ct";"Qty";"Mean.Qty";"StdDev.Qty";"Filtered";"Tm";"Rn";"User.Defined..2";"User.Defined..3";"primers"
"A";1;"RNAi1-1";"18S";"Unknown";"15.2104";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";2;"RNAi1-2";"18S";"Unknown";"15.2286";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";3;"RNAi1-3";"18S";"Unknown";"15.4853";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";4;"RNAi2-1";"18S";"Unknown";"15.3587";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";5;"RNAi2-2";"18S";"Unknown";"15.2092";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";6;"RNAi2-3";"18S";"Unknown";"15.1074";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";7;"Control-1";"18S";"Unknown";"18.0093";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";8;"Control-2";"18S";"Unknown";"17.261";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";9;"Control-3";"18S";"Unknown";"17.4424";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"A";10;"";"18S";"Unknown";"10.375";NA;NA;NA;NA;"";80;NA;NA;NA;"HK"
"A";11;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";88,8;NA;NA;NA;"HK"
"A";12;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";88,8;NA;NA;NA;"HK"
"B";1;"RNAi1-1";"18S";"Unknown";"15.4343";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"B";2;"RNAi1-2";"18S";"Unknown";"15.2661";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";3;"RNAi1-3";"18S";"Unknown";"15.3171";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";4;"RNAi2-1";"18S";"Unknown";"15.319";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";5;"RNAi2-2";"18S";"Unknown";"15.1371";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";6;"RNAi2-3";"18S";"Unknown";"15.1738";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";7;"Control-1";"18S";"Unknown";"17.8956";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";8;"Control-2";"18S";"Unknown";"17.1959";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"B";9;"Control-3";"18S";"Unknown";"17.2401";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"B";10;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";NA;NA;NA;NA;"HK"
"B";11;"";"18S";"Unknown";"14.838";NA;NA;NA;NA;"";78,9;NA;NA;NA;"HK"
"B";12;"";"18S";"Unknown";"13.4946";NA;NA;NA;NA;"";79,2;NA;NA;NA;"HK"
"C";1;"RNAi1-1";"18S";"Unknown";"15.2322";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";2;"RNAi1-2";"18S";"Unknown";"15.1855";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";3;"RNAi1-3";"18S";"Unknown";"15.3687";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";4;"RNAi2-1";"18S";"Unknown";"15.3611";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";5;"RNAi2-2";"18S";"Unknown";"15.3166";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";6;"RNAi2-3";"18S";"Unknown";"15.2046";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";7;"Control-1";"18S";"Unknown";"18.1847";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";8;"Control-2";"18S";"Unknown";"17.4273";5,84;NA;NA;NA;"";85,9;NA;NA;NA;"HK"
"C";9;"Control-3";"18S";"Unknown";"17.291";5,84;NA;NA;NA;"";85,6;NA;NA;NA;"HK"
"C";10;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";88,5;NA;NA;NA;"HK"
"C";11;"";"18S";"Unknown";"6.21772";NA;NA;NA;NA;"";83,9;NA;NA;NA;"HK"
"C";12;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";84,5;NA;NA;NA;"HK"
"D";1;"NTC";"18S";"Unknown";"32.0403";5,84;NA;NA;NA;"";74,4;NA;NA;NA;"HK"
"D";2;"NTC";"18S";"Unknown";"27.3642";5,84;NA;NA;NA;"";76,3;NA;NA;NA;"HK"
"D";3;"NTC";"18S";"Unknown";"28.6826";5,84;NA;NA;NA;"";74,4;NA;NA;NA;"HK"
"D";4;"NTC";"18S";"Unknown";"32.3522";5,84;NA;NA;NA;"";76,3;NA;NA;NA;"HK"
"D";5;"NTC";"18S";"Unknown";"27.8192";5,84;NA;NA;NA;"";76,3;NA;NA;NA;"HK"
"D";6;"NTC";"18S";"Unknown";"Undetermined";5,84;NA;NA;NA;"";82,2;NA;NA;NA;"HK"
"D";7;"NTC";"18S";"Unknown";"29.6299";5,84;NA;NA;NA;"";76,5;NA;NA;NA;"HK"
"D";8;"NTC";"18S";"Unknown";"31.3364";5,84;NA;NA;NA;"";75;NA;NA;NA;"HK"
"D";9;"NTC";"18S";"Unknown";"Undetermined";5,84;NA;NA;NA;"Noisy BL";NA;NA;NA;NA;"HK"
"D";10;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";70,7;NA;NA;NA;"HK"
"D";11;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";80,3;NA;NA;NA;"HK"
"D";12;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";76,5;NA;NA;NA;"HK"
"E";1;"RNAi1-1";"18S";"Unknown";"22.5414";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"E";2;"RNAi1-2";"18S";"Unknown";"22.7052";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";3;"RNAi1-3";"18S";"Unknown";"22.9786";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";4;"RNAi2-1";"18S";"Unknown";"26.6213";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";5;"RNAi2-2";"18S";"Unknown";"26.269";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";6;"RNAi2-3";"18S";"Unknown";"26.0578";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";7;"Control-1";"18S";"Unknown";"25.7207";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";8;"Control-2";"18S";"Unknown";"25.1235";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"E";9;"Control-3";"18S";"Unknown";"25.1988";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"E";10;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";78,2;NA;NA;NA;"test"
"E";11;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";78,4;NA;NA;NA;"test"
"E";12;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";75,7;NA;NA;NA;"test"
"F";1;"RNAi1-1";"18S";"Unknown";"22.7645";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"F";2;"RNAi1-2";"18S";"Unknown";"22.8043";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"F";3;"RNAi1-3";"18S";"Unknown";"23.1357";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"F";4;"RNAi2-1";"18S";"Unknown";"26.8602";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"F";5;"RNAi2-2";"18S";"Unknown";"26.3256";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"F";6;"RNAi2-3";"18S";"Unknown";"26.2693";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"F";7;"Control-1";"18S";"Unknown";"25.5886";3,45;NA;NA;NA;"";81,7;NA;NA;NA;"test"
"F";8;"Control-2";"18S";"Unknown";"25.1643";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"F";9;"Control-3";"18S";"Unknown";"25.1582";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"F";10;"";"18S";"Unknown";"28.97";NA;NA;NA;NA;"";88,5;NA;NA;NA;"test"
"F";11;"";"18S";"Unknown";"37.112";NA;NA;NA;NA;"";72,3;NA;NA;NA;"test"
"F";12;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";89,1;NA;NA;NA;"test"
"G";1;"RNAi1-1";"18S";"Unknown";"22.7787";3,45;NA;NA;NA;"";81,1;NA;NA;NA;"test"
"G";2;"RNAi1-2";"18S";"Unknown";"22.8005";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";3;"RNAi1-3";"18S";"Unknown";"23.1175";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";4;"RNAi2-1";"18S";"Unknown";"26.5875";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";5;"RNAi2-2";"18S";"Unknown";"26.2517";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";6;"RNAi2-3";"18S";"Unknown";"26.0223";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";7;"Control-1";"18S";"Unknown";"25.2575";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";8;"Control-2";"18S";"Unknown";"25.1857";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";9;"Control-3";"18S";"Unknown";"25.1284";3,45;NA;NA;NA;"";81,4;NA;NA;NA;"test"
"G";10;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";88,8;NA;NA;NA;"test"
"G";11;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";82,2;NA;NA;NA;"test"
"G";12;"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";75,7;NA;NA;NA;"test"
"H";1;"NTC";"18S";"Unknown";"28.3319";3,45;NA;NA;NA;"";78,2;NA;NA;NA;"test"
"H";2;"NTC";"18S";"Unknown";"33";3,45;NA;NA;NA;"";72,8;NA;NA;NA;"test"
"H";3;"NTC";"18S";"Unknown";"32.1679";3,45;NA;NA;NA;"";73,1;NA;NA;NA;"test"
"H";4;"NTC";"18S";"Unknown";"31.9729";3,45;NA;NA;NA;"";73,1;NA;NA;NA;"test"
"H";5;"NTC";"18S";"Unknown";"31.4488";3,45;NA;NA;NA;"";78,7;NA;NA;NA;"test"
"H";6;"NTC";"18S";"Unknown";"31.3745";3,45;NA;NA;NA;"";73,1;NA;NA;NA;"test"
"H";7;"NTC";"18S";"Unknown";"31.2716";3,45;NA;NA;NA;"";73,1;NA;NA;NA;"test"
"H";8;"NTC";"18S";"Unknown";"29.8952";3,45;NA;NA;NA;"";78,2;NA;NA;NA;"test"
"H";9;"NTC";"18S";"Unknown";"31.5134";3,45;NA;NA;NA;"";72,8;NA;NA;NA;"test"
